编号	坐骑id	名称	坐騎圖標	坐騎buff图标	角色id	变身後id	貨幣類型：1為銅錢，2為道具，4為元寶	貨幣ID	貨幣數量	商店是否顯示，0不顯示，1顯示	前端排序	時間限制	描述	移动速度(万分比）	品質	特效	属性加成id	属性加成数量	组号	对应的坐骑礼包itemid	需要的坐骑碎片数量	是否顯示在百發百中	是否在坐騎圖鑒兌換	精裝是否活動禮包0.是1.否（前端用）	精裝獨立特效(原夥伴絕技特效不顯示)(前端使用）
78	30420078	藍狼	30420078_1	30420078_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001504|70001505|70001506|70001507|70001508|70001509|70001510|70001511|70001512|70001513	4	0	99999	0	78	-1	一匹高貴優雅的狼，有著貴族的血統。	13000	4	0	1|2|3	30|30|30	9	30301642	300	1	0	1	0
79	30420079	齊天大聖 呂布	30420079_1	30420079_2	0	70001524	4	0	99999	0	79	-1	如來佛祖玉皇大帝觀音菩薩指定取經特派使者傲來國花果山水簾洞美猴王齊天大聖呂奉先。2016限量版猴年精裝，官方活動發售。	0	5	0	4|1|2|3|7	10000|200|100|100|20000	0	0	0	0	0	0	79
80	30420080	春節時裝	30420080_1	30420080_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001525|70001526|70001527|70001528|70001529|70001530|70001531|70001532|70001533|70001534	4	0	99999	0	80	-1	春節時裝	10000	5	0	1|2|3	30|30|30	8	30301654	300	1	0	1	0
81	30420081	猴年坐騎	30420081_1	30420081_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001535|70001536|70001537|70001538|70001539|70001540|70001541|70001542|70001543|70001544	4	0	99999	0	81	-1	猴年新春坐騎	13000	4	0	1|2|3	30|30|30	3	30301655	300	1	0	1	0
82	30420082	越南傳統時裝	30420082_1	30420082_2	70090001|70090002|70090003|70090004|70090005|70090006|70090007|70090008|70090009|70090010	70001545|70001546|70001547|70001548|70001549|70001550|70001551|70001552|70001553|70001554	4	0	99999	0	82	-1	越南傳統時裝	0	0	0	1|2|3	50|50|50	99	0	0	0	0	1	0
83	30420083	黑豹	30420083_1	30420083_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001555|70001556|70001557|70001558|70001559|70001560|70001561|70001562|70001563|70001564	4	0	99999	0	83	-1	黑豹是黑狼的大哥！	13000	4	0	1|2|3	30|30|30	3	30302036	300	1	0	1	0
84	30420084	仙鶴	30420084_1	30420084_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001565|70001566|70001567|70001568|70001569|70001570|70001571|70001572|70001573|70001574	4	0	99999	0	84	-1	傳說中太上老君的坐騎！聽說味道不錯。	13000	4	0	1|2|3	30|30|30	3	30302037	300	1	0	1	0
85	30420085	機械狐狸	30420085_1	30420085_2	70090001|70090002|70090003|70090004|70090005|70090006|70090007|70090008|70090009|70090010	70001575|70001576|70001577|70001578|70001579|70001580|70001581|70001582|70001583|70001584	4	0	99999	0	85	-1	小時候的夥伴。	13000	4	0	1|2|3	30|30|30	99	30302038	0	0	0	1	0
86	30420086	火鳳凰	30420086_1	30420086_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001585|70001586|70001587|70001588|70001589|70001590|70001591|70001592|70001593|70001594	4	0	99999	0	86	-1	上古神獸，百鳥之王，全身被火焰覆蓋，散发着炽热气息。	15000	5	0	4|1|2|3	1000|50|50|50	2	30302077	600	0	0	0	0
87	30420087	過關斬將 關羽	30420087_1	30420087_2	0	70001595	4	0	8000	0	87	-1	雲長闖關斬六將，武聖千里走單騎！為聖關羽購買精裝，可為其永久增加屬性。購買後所有等級聖關羽立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|12	8000|100|50|100|20000	0	0	0	0	0	1	0
88	30420088	驃騎將軍 馬超	30420088_1	30420088_2	0	70001596	4	0	99999	0	88	-1	驃騎一戰驚風起，雄秀當推錦馬超！為聖馬超購買精裝，可為其永久增加屬性。購買後所有等級聖馬超立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|7	10000|200|100|100|20000	0	0	0	0	0	0	0
89	30420089	冰鳳凰	30420089_1	30420089_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001597|70001598|70001599|70001600|70001601|70001602|70001603|70001604|70001605|70001606	4	0	99999	0	89	-1	上古神獸，百鳥之王，全身被冰焰覆蓋，散发着幽冷气息。	15000	5	0	4|1|2|3	1000|50|50|50	2	30302119	600	0	0	0	0
90	30420090	彩鳳	30420090_1	30420090_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001607|70001608|70001609|70001610|70001611|70001612|70001613|70001614|70001615|70001616	4	0	99999	0	90	-1	身無彩鳳雙飛翼，心有靈犀一點通！這是一隻和青鸞比翼雙飛的彩鳳！	15000	5	0	4|1|2|3	1000|50|50|50	2	30302120	600	0	0	0	0
91	30420091	青鸞	30420091_1	30420091_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001617|70001618|70001619|70001620|70001621|70001622|70001623|70001624|70001625|70001626	4	0	99999	0	91	-1	身無彩鳳雙飛翼，心有靈犀一點通！這是一隻和彩鳳比翼雙飛的青鸞！	15000	5	0	4|1|2|3	1000|50|50|50	2	30302121	600	0	0	0	0
92	30420092	龍龜	30420092_1	30420092_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001627|70001628|70001629|70001630|70001631|70001632|70001633|70001634|70001635|70001636	4	0	99999	0	92	-1	遠古異獸龍龜，體型龐大，動作緩慢！	9000	5	0	4|1|2|3	1000|50|50|50	2	30302137	600	0	0	0	0
93	30420093	地獄魔神 呂布	30420093_1	30420093_2	0	70001637	4	0	99999	0	93	-1	此去黃泉招舊部，旌旗十萬斬閻羅！為聖呂布購買精裝，可為其永久增加屬性。購買後所有等級聖呂布立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|9	10000|200|100|100|20000	0	0	0	0	0	0	0
94	30420094	冰狐	30420094_1	30420094_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001638|70001639|70001640|70001641|70001642|70001643|70001644|70001645|70001646|70001647	4	0	99999	0	94	-1	極寒之地出沒的雪地冰狐，數量極其稀少。	15000	5	0	4|1|2|3	1000|30|30|30	3	30302168	300	0	0	0	0
